"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","$0.0000 hourly","unavailable","$68.8240 hourly","unavailable","unavailable"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0042 hourly","$0.0026 hourly","$0.0022 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0047 hourly","$0.0029 hourly","$0.0017 hourly","$0.0093 hourly","$0.0075 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0052 hourly","$0.0033 hourly","$0.0013 hourly","$0.0098 hourly","$0.0079 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","$0.0058 hourly","$0.0036 hourly","unavailable","$0.0081 hourly","$0.0059 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0084 hourly","$0.0053 hourly","$0.0026 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0094 hourly","$0.0059 hourly","$0.0031 hourly","$0.0186 hourly","$0.0151 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0104 hourly","$0.0065 hourly","$0.0019 hourly","$0.0196 hourly","$0.0157 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","$0.0116 hourly","$0.0072 hourly","$0.0025 hourly","$0.0162 hourly","$0.0118 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0168 hourly","$0.0105 hourly","$0.0032 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0188 hourly","$0.0118 hourly","$0.0056 hourly","$0.0372 hourly","$0.0302 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0208 hourly","$0.0130 hourly","$0.0036 hourly","$0.0392 hourly","$0.0314 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0230 hourly","$0.0144 hourly","$0.0068 hourly","$0.0320 hourly","$0.0236 hourly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0255 hourly","$0.0161 hourly","$0.0071 hourly","unavailable","unavailable"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0336 hourly","$0.0211 hourly","$0.0062 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0340 hourly","$0.0214 hourly","$0.0085 hourly","unavailable","unavailable"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0361 hourly","$0.0239 hourly","$0.0080 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0376 hourly","$0.0236 hourly","$0.0125 hourly","$0.0560 hourly","$0.0420 hourly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0384 hourly","$0.0242 hourly","$0.0148 hourly","unavailable","unavailable"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0385 hourly","$0.0241 hourly","$0.0093 hourly","unavailable","unavailable"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0408 hourly","$0.0270 hourly","$0.0087 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0416 hourly","$0.0261 hourly","$0.0125 hourly","$0.0600 hourly","$0.0445 hourly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0432 hourly","$0.0273 hourly","$0.0085 hourly","unavailable","unavailable"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0452 hourly","$0.0285 hourly","$0.0095 hourly","unavailable","unavailable"
"C7GD Medium","c7gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0454 hourly","$0.0286 hourly","$0.0108 hourly","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0464 hourly","$0.0287 hourly","$0.0141 hourly","$0.0644 hourly","$0.0467 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0504 hourly","$0.0318 hourly","$0.0091 hourly","unavailable","unavailable"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0510 hourly","$0.0321 hourly","$0.0179 hourly","unavailable","unavailable"
"C7A Medium","c7a.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0513 hourly","$0.0340 hourly","$0.0155 hourly","$0.0973 hourly","$0.0799 hourly"
"M7GD Medium","m7gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0534 hourly","$0.0336 hourly","$0.0072 hourly","unavailable","unavailable"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0536 hourly","$0.0354 hourly","$0.0078 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0576 hourly","$0.0363 hourly","$0.0123 hourly","unavailable","unavailable"
"M7A Medium","m7a.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0580 hourly","$0.0383 hourly","$0.0170 hourly","$0.1040 hourly","$0.0843 hourly"
"C7GN Medium","c7gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 25 Gigabit","$0.0624 hourly","$0.0393 hourly","$0.0074 hourly","unavailable","unavailable"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0672 hourly","$0.0421 hourly","$0.0119 hourly","unavailable","unavailable"
"R7GD Medium","r7gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0680 hourly","$0.0428 hourly","$0.0095 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0680 hourly","$0.0428 hourly","$0.0219 hourly","unavailable","unavailable"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0723 hourly","$0.0478 hourly","$0.0223 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0752 hourly","$0.0471 hourly","$0.0189 hourly","$0.1028 hourly","$0.0747 hourly"
"R7A Medium","r7a.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0761 hourly","$0.0503 hourly","$0.0188 hourly","$0.1221 hourly","$0.0963 hourly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0765 hourly","$0.0506 hourly","$0.0195 hourly","$0.1685 hourly","$0.1426 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0768 hourly","$0.0484 hourly","$0.0213 hourly","unavailable","unavailable"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0770 hourly","$0.0483 hourly","$0.0210 hourly","unavailable","unavailable"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0770 hourly","$0.0490 hourly","$0.0249 hourly","$0.1690 hourly","$0.1410 hourly"
"M7G Large","m7g.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0816 hourly","$0.0540 hourly","$0.0222 hourly","unavailable","unavailable"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0832 hourly","$0.0522 hourly","$0.0303 hourly","$0.1108 hourly","$0.0798 hourly"
"X2GD Medium","x2gd.medium","16.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0835 hourly","$0.0515 hourly","$0.0142 hourly","unavailable","unavailable"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0850 hourly","$0.0540 hourly","$0.0335 hourly","$0.1770 hourly","$0.1460 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0850 hourly","$0.0562 hourly","$0.0293 hourly","$0.1770 hourly","$0.1482 hourly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0860 hourly","$0.0540 hourly","$0.0352 hourly","$0.1780 hourly","$0.1460 hourly"
"C5AD Large","c5ad.large","4.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.0860 hourly","$0.0540 hourly","$0.0292 hourly","$0.1780 hourly","$0.1460 hourly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0864 hourly","$0.0571 hourly","$0.0326 hourly","$0.1784 hourly","$0.1492 hourly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.0864 hourly","$0.0545 hourly","$0.0205 hourly","unavailable","unavailable"
"C7I Large","c7i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0892 hourly","$0.0590 hourly","$0.0214 hourly","$0.1812 hourly","$0.1510 hourly"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0904 hourly","$0.0570 hourly","$0.0270 hourly","unavailable","unavailable"
"C7GD Large","c7gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0907 hourly","$0.0572 hourly","$0.0219 hourly","unavailable","unavailable"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Low to Moderate","$0.0928 hourly","$0.0575 hourly","$0.0282 hourly","$0.1208 hourly","$0.0855 hourly"
"M7I-FLEX Large","m7i-flex.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0958 hourly","$0.0633 hourly","$0.0257 hourly","$0.1832 hourly","$0.1507 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0960 hourly","$0.0635 hourly","$0.0244 hourly","$0.1880 hourly","$0.1555 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0960 hourly","$0.0600 hourly","$0.0312 hourly","$0.1880 hourly","$0.1520 hourly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","50 GB                 NVMe SSD","Up to 10 Gigabit","$0.0960 hourly","$0.0600 hourly","$0.0296 hourly","$0.1880 hourly","$0.1520 hourly"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","EBS only","Moderate","$0.1000 hourly","$0.0620 hourly","$0.0526 hourly","$0.1920 hourly","$0.1540 hourly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","EBS only","Moderate","$0.1000 hourly","$0.0630 hourly","$0.0470 hourly","$0.1920 hourly","$0.1550 hourly"
"M7I Large","m7i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1008 hourly","$0.0667 hourly","$0.0286 hourly","$0.1928 hourly","$0.1587 hourly"
"C6ID Large","c6id.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1008 hourly","$0.0635 hourly","$0.0175 hourly","$0.1928 hourly","$0.1555 hourly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1008 hourly","$0.0635 hourly","$0.0235 hourly","unavailable","unavailable"
"A1 Extra Large","a1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1020 hourly","$0.0643 hourly","$0.0495 hourly","unavailable","unavailable"
"C7A Large","c7a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1026 hourly","$0.0679 hourly","$0.0182 hourly","$0.1946 hourly","$0.1599 hourly"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1030 hourly","$0.0650 hourly","$0.0395 hourly","$0.1950 hourly","$0.1570 hourly"
"M7GD Large","m7gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1068 hourly","$0.0673 hourly","$0.0233 hourly","unavailable","unavailable"
"R7G Large","r7g.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1071 hourly","$0.0708 hourly","$0.0250 hourly","unavailable","unavailable"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1080 hourly","$0.0680 hourly","$0.0353 hourly","$0.2000 hourly","$0.1600 hourly"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1130 hourly","$0.0710 hourly","$0.0434 hourly","$0.2050 hourly","$0.1630 hourly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1130 hourly","$0.0710 hourly","$0.0411 hourly","$0.2050 hourly","$0.1630 hourly"
"R6A Large","r6a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1134 hourly","$0.0750 hourly","$0.0371 hourly","$0.2054 hourly","$0.1670 hourly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1134 hourly","$0.0714 hourly","$0.0231 hourly","$0.2054 hourly","$0.1634 hourly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1152 hourly","$0.0726 hourly","$0.0274 hourly","unavailable","unavailable"
"M7A Large","m7a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1159 hourly","$0.0767 hourly","$0.0148 hourly","$0.2079 hourly","$0.1687 hourly"
"M6ID Large","m6id.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1187 hourly","$0.0747 hourly","$0.0397 hourly","$0.2107 hourly","$0.1668 hourly"
"M5N Large","m5n.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1190 hourly","$0.0750 hourly","$0.0392 hourly","$0.2110 hourly","$0.1670 hourly"
"C7GN Large","c7gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 30 Gigabit","$0.1248 hourly","$0.0786 hourly","$0.0200 hourly","unavailable","unavailable"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1260 hourly","$0.0833 hourly","$0.0300 hourly","$0.2180 hourly","$0.1754 hourly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1260 hourly","$0.0790 hourly","$0.0507 hourly","$0.2180 hourly","$0.1710 hourly"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1310 hourly","$0.0830 hourly","$0.0393 hourly","$0.2230 hourly","$0.1750 hourly"
"R7I Large","r7i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1323 hourly","$0.0875 hourly","$0.0132 hourly","$0.2243 hourly","$0.1795 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1330 hourly","$0.0840 hourly","$0.0412 hourly","$0.2250 hourly","$0.1760 hourly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1344 hourly","$0.0843 hourly","$0.0450 hourly","unavailable","unavailable"
"M5DN Large","m5dn.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 25 Gigabit","$0.1360 hourly","$0.0860 hourly","$0.0532 hourly","$0.2280 hourly","$0.1780 hourly"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1360 hourly","$0.0857 hourly","$0.0563 hourly","unavailable","unavailable"
"R7GD Large","r7gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1361 hourly","$0.0855 hourly","$0.0210 hourly","unavailable","unavailable"
"M6IN Large","m6in.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1392 hourly","$0.0877 hourly","$0.0435 hourly","$0.2312 hourly","$0.1797 hourly"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1440 hourly","$0.0910 hourly","$0.0505 hourly","$0.2360 hourly","$0.1830 hourly"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1441 hourly","$0.0983 hourly","$0.0147 hourly","unavailable","unavailable"
"C7G Extra Large","c7g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1445 hourly","$0.0956 hourly","$0.0563 hourly","unavailable","unavailable"
"R5B Large","r5b.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1490 hourly","$0.0939 hourly","$0.0426 hourly","$0.2410 hourly","$0.1859 hourly"
"R5N Large","r5n.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1490 hourly","$0.0940 hourly","$0.0407 hourly","$0.2410 hourly","$0.1860 hourly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1504 hourly","$0.0943 hourly","$0.0517 hourly","$0.2240 hourly","$0.1679 hourly"
"R6ID Large","r6id.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1512 hourly","$0.0950 hourly","$0.0266 hourly","$0.2432 hourly","$0.1870 hourly"
"R7A Large","r7a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1522 hourly","$0.1007 hourly","$0.0219 hourly","$0.2442 hourly","$0.1926 hourly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1530 hourly","$0.1012 hourly","$0.0567 hourly","$0.3370 hourly","$0.2852 hourly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1536 hourly","$0.0968 hourly","$0.0489 hourly","unavailable","unavailable"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1540 hourly","$0.0970 hourly","$0.0564 hourly","$0.3380 hourly","$0.2810 hourly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1540 hourly","$0.0966 hourly","$0.0519 hourly","unavailable","unavailable"
"I4G Large","i4g.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1544 hourly","$0.1002 hourly","$0.0235 hourly","unavailable","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","$0.1560 hourly","$0.1070 hourly","$0.0236 hourly","$0.2480 hourly","$0.1990 hourly"
"M6IDN Large","m6idn.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.1591 hourly","$0.1003 hourly","$0.0403 hourly","$0.2511 hourly","$0.1923 hourly"
"M7G Extra Large","m7g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1632 hourly","$0.1080 hourly","$0.0559 hourly","unavailable","unavailable"
"M5ZN Large","m5zn.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1652 hourly","$0.1041 hourly","$0.0379 hourly","$0.2572 hourly","$0.1961 hourly"
"R3 High-Memory Large","r3.large","15.25 GiB","2 vCPUs","32 GB                 SSD","Moderate","$0.1660 hourly","$0.1050 hourly","$0.0276 hourly","$0.2910 hourly","$0.2380 hourly"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1664 hourly","$0.1043 hourly","$0.0564 hourly","$0.2400 hourly","$0.1779 hourly"
"R5DN Large","r5dn.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 25 Gigabit","$0.1670 hourly","$0.1050 hourly","$0.0397 hourly","$0.2590 hourly","$0.1970 hourly"
"X2GD Large","x2gd.large","32.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1670 hourly","$0.1029 hourly","$0.0276 hourly","unavailable","unavailable"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1700 hourly","$0.1070 hourly","$0.0635 hourly","$0.3540 hourly","$0.2910 hourly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1700 hourly","$0.1125 hourly","$0.0597 hourly","$0.3540 hourly","$0.2965 hourly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1720 hourly","$0.1110 hourly","$0.0197 hourly","$0.2640 hourly","$0.2030 hourly"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.1720 hourly","$0.1080 hourly","$0.0626 hourly","$0.3560 hourly","$0.2920 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1720 hourly","$0.1080 hourly","$0.0700 hourly","$0.3560 hourly","$0.2920 hourly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1728 hourly","$0.1143 hourly","$0.0605 hourly","$0.3568 hourly","$0.2983 hourly"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.1728 hourly","$0.1091 hourly","$0.0446 hourly","unavailable","unavailable"
"R6IN Large","r6in.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1743 hourly","$0.1098 hourly","$0.0244 hourly","$0.2663 hourly","$0.2018 hourly"
"C7I Extra Large","c7i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1785 hourly","$0.1181 hourly","$0.0574 hourly","$0.3625 hourly","$0.3021 hourly"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1808 hourly","$0.1139 hourly","$0.0579 hourly","unavailable","unavailable"
"C7GD Extra Large","c7gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1814 hourly","$0.1143 hourly","$0.0391 hourly","unavailable","unavailable"
"IM4GN Large","im4gn.large","8.0 GiB","2 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1819 hourly","$0.1167 hourly","$0.0270 hourly","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","EBS only","Moderate","$0.1856 hourly","$0.1150 hourly","$0.0533 hourly","$0.2266 hourly","$0.1560 hourly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1860 hourly","$0.1170 hourly","$0.0358 hourly","$0.2780 hourly","$0.2090 hourly"
"M7I-FLEX Extra Large","m7i-flex.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1915 hourly","$0.1267 hourly","$0.0698 hourly","$0.3663 hourly","$0.3015 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","100 GB                 NVMe SSD","Up to 10 Gigabit","$0.1920 hourly","$0.1210 hourly","$0.0820 hourly","$0.3760 hourly","$0.3050 hourly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1920 hourly","$0.1270 hourly","$0.0630 hourly","$0.3760 hourly","$0.3110 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1920 hourly","$0.1210 hourly","$0.0685 hourly","$0.3760 hourly","$0.3050 hourly"
"R6IDN Large","r6idn.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.1954 hourly","$0.1231 hourly","$0.0277 hourly","$0.2874 hourly","$0.2151 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","EBS only","High","$0.1990 hourly","$0.1260 hourly","$0.0789 hourly","$0.3830 hourly","$0.3100 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","EBS only","High","$0.2000 hourly","$0.1239 hourly","$0.0929 hourly","$0.3840 hourly","$0.3079 hourly"
"M7I Extra Large","m7i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2016 hourly","$0.1334 hourly","$0.0859 hourly","$0.3856 hourly","$0.3174 hourly"
"C6ID Extra Large","c6id.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2016 hourly","$0.1270 hourly","$0.0486 hourly","$0.3856 hourly","$0.3110 hourly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2016 hourly","$0.1270 hourly","$0.0620 hourly","unavailable","unavailable"
